playerID,yearID,SorR,stint,teamID,lgID,W,L,G,GS,GSPct,IPouts,IP,H,ER,HR,BB,WHIP,SO,SOPer9IP,ERA,R
wadeja01,1938,reliever,1,DET,AL,3,2,27,2,7.407407407,210,70,73,51,9,48,1.73,23,2.96,6.56,56
allenjo02,1939,starter,1,CLE,AL,9,7,28,26,92.85714286,525,175,199,89,9,56,1.46,79,4.06,4.58,96
applepe01,1939,reliever,1,WS1,AL,5,10,40,4,10,308,102.6666667,104,52,7,48,1.48,50,4.38,4.56,62
browncl01,1939,reliever,1,CHA,AL,11,10,61,0,0,355,118.3333333,127,51,8,27,1.3,41,3.12,3.88,58
brownju01,1939,reliever,1,NY1,NL,4,0,31,0,0,169,56.33333333,69,26,1,25,1.67,24,3.83,4.15,30
chaseke01,1939,starter,1,WS1,AL,10,19,32,31,96.875,696,232,215,98,10,114,1.42,118,4.58,3.8,116
deanch01,1939,reliever,1,PHA,AL,5,8,54,1,1.851851852,350,116.6666667,132,68,8,80,1.82,39,3.01,5.25,93
derripa01,1939,starter,1,CIN,NL,25,7,38,35,92.10526316,903,301,321,98,15,35,1.18,128,3.83,2.93,115
dickmem01,1939,reliever,1,BOS,AL,8,3,48,1,2.083333333,341,113.6666667,126,56,10,43,1.49,46,3.64,4.43,70
dobsojo01,1939,reliever,1,CLE,AL,2,3,35,3,8.571428571,234,78,87,51,3,51,1.77,27,3.12,5.88,56
fettelo01,1939,starter,1,BSN,NL,10,10,27,26,96.2962963,438,146,123,48,7,61,1.26,35,2.16,2.96,62
gomezle01,1939,starter,1,NYA,AL,12,8,26,26,100,594,198,173,75,11,84,1.3,102,4.64,3.41,80
grovele01,1939,starter,1,BOS,AL,15,4,23,23,100,573,191,180,54,8,58,1.25,81,3.82,2.54,63
gumbeha01,1939,starter,1,NY1,NL,18,11,36,34,94.44444444,731,243.6666667,257,117,21,81,1.39,81,2.99,4.32,132
hamlilu01,1939,starter,1,BRO,NL,20,13,40,36,90,809,269.6666667,255,109,27,54,1.15,88,2.94,3.64,115
hutchir01,1939,reliever,1,BRO,NL,5,2,41,1,2.43902439,317,105.6666667,103,51,9,51,1.46,46,3.92,4.34,54
kerksbi01,1939,reliever,1,PHI,NL,0,2,23,2,8.695652174,188,62.66666667,81,50,13,32,1.8,13,1.87,7.18,52
knottja01,1939,starter,1,CHA,AL,11,6,25,23,92,449,149.6666667,157,69,13,41,1.32,56,3.37,4.15,71
leebi02,1939,starter,1,CHN,NL,19,15,37,36,97.2972973,847,282.3333333,295,108,18,85,1.35,105,3.35,3.44,125
leonadu02,1939,starter,1,WS1,AL,20,8,34,34,100,808,269.3333333,273,106,16,59,1.23,88,2.94,3.54,124
lyonste01,1939,starter,1,CHA,AL,14,6,21,21,100,518,172.6666667,162,53,7,26,1.09,65,3.39,2.76,71
murphjo04,1939,reliever,1,NYA,AL,3,6,38,0,0,184,61.33333333,57,30,2,28,1.39,30,4.40,4.4,33
pearsmo01,1939,starter,1,NYA,AL,12,5,22,20,90.90909091,439,146.3333333,151,73,9,70,1.51,76,4.67,4.49,77
